Individuo;Especie;Nombre_comun;Peso_total;TIpo_MPs;Cantidad;Condicion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.1;Ateles geoffroyi;Mono araña;;Fibra;9;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.1;Ateles geoffroyi;Mono araña;0,89;Fragmento;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.2;Ateles geoffroyi;Mono araña;;Fibra;4;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.2;Ateles geoffroyi;Mono araña;0,52;Fragmento;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.3;Ateles geoffroyi;Mono araña;0,42;Fibra;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.5;Ateles geoffroyi;Mono araña;0,52;Fibra;7;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xmen.6;Ateles geoffroyi;Mono araña;3,61;Fibra;4;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.a;Ateles geoffroyi;Mono araña;;Fibra;11;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.a;Ateles geoffroyi;Mono araña;2,02;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.b;Ateles geoffroyi;Mono araña;;Fibra;8;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.b;Ateles geoffroyi;Mono araña;5,33;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.c;Ateles geoffroyi;Mono araña;;Fibra;9;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.c;Ateles geoffroyi;Mono araña;4,62;Fragmento;3;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.d;Ateles geoffroyi;Mono araña;3,05;Fibra;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.e;Ateles geoffroyi;Mono araña;;Fibra;12;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C10.e;Ateles geoffroyi;Mono araña;2,74;Fragmento;5;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rebeca;Ateles geoffroyi;Mono araña;;Fibra;14;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rebeca;Ateles geoffroyi;Mono araña;2,41;Fragmento;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C3;Ateles geoffroyi;Mono araña;3,98;Fibra;6;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Otilia.George;Ateles geoffroyi;Mono araña;2,4;Fibra;6;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pancho;Ateles geoffroyi;Mono araña;0,57;Fibra;5;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mimis;Ateles geoffroyi;Mono araña;1,88;Fibra;3;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Evolution;Ateles geoffroyi;Mono araña;0,59;Fibra;3;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ico juvenil;Ateles geoffroyi;Mono araña;4,92;Fibra;4;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eli;Ateles geoffroyi;Mono araña;;Fibra;20;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eli;Ateles geoffroyi;Mono araña;12,12;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regia;Ateles geoffroyi;Mono araña;;Fibra;5;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regia;Ateles geoffroyi;Mono araña;5,96;Fragmento;1;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maya;Ateles geoffroyi;Mono araña;2,89;Fibra;7;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.65;Ateles geoffroyi;Mono araña;2,91;Fibra;6;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.75;Ateles geoffroyi;Mono araña;3,92;Fibra;18;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elisa;Ateles geoffroyi;Mono araña;1,99;Fibra;7;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luisa;Ateles geoffroyi;Mono araña;0,96;Fibra;5;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lupita;Ateles geoffroyi;Mono araña;2,05;Fibra;2;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uaritti;Ateles geoffroyi;Mono araña;;Fibra;46;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uaritti;Ateles geoffroyi;Mono araña;1,33;Fragmento;4;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hzy;Ateles geoffroyi;Mono araña;0,96;Fibra;6;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wm1;Ateles geoffroyi;Mono araña;;Fibra;8;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wm1;Ateles geoffroyi;Mono araña;3,42;Fragmento;1;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T-siri;Alouatta pigra;Saraguato;1,24;Fibra;11;Vida.silvestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaru;Alouatta pigra;Saraguato;;Fibra;26;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guaru;Alouatta pigra;Saraguato;3,43;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santi;Alouatta pigra;Saraguato;;Fibra;9;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Santi;Alouatta pigra;Saraguato;3,61;Fragmento;4;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kevin;Alouatta pigra;Saraguato;6,36;Fibra;14;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lula;Alouatta pigra;Saraguato;;Fibra;8;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lula;Alouatta pigra;Saraguato;3,13;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Muck;Alouatta pigra;Saraguato;4,79;Fibra;16;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nene;Alouatta pigra;Saraguato;;Fibra;26;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nene;Alouatta pigra;Saraguato;7,37;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sara;Sapajus apella;Cara negra;6,21;Fibra;19;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capu;Sapajus apella;Cara negra;5,26;Fibra;8;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luli;Sapajus apella;Cara negra;3,79;Fibra;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figaro;Sapajus apella;Cara negra;;Fibra;6;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Figaro;Sapajus apella;Cara negra;1,31;Fragmento;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rafaela;Sapajus apella;Cara negra;2,22;Fibra;8;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Travis;Sapajus apella;Cara negra;6,73;Fibra;13;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tomasa;Sapajus apella;Cara negra;7,79;Fibra;13;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kimie ;Cebus capúcinus;Cara blanca;;Fibra;11;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kimie ;Cebus capúcinus;Cara blanca;2,85;Fragmento;1;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carlitos;Cebus capúcinus;Cara blanca;3,6;Fibra;9;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcelito;Cebus capúcinus;Cara blanca;;Fibra;15;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcelito;Cebus capúcinus;Cara blanca;2,76;Fragmento;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lina;Cebus capúcinus;Cara blanca;4,74;Fibra;13;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lili;Cebus capúcinus;Cara blanca;10,98;Fibra;12;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pachicito;Cebus capúcinus;Cara blanca;11,77;Fibra;16;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bambam;Cebus capúcinus;Cara blanca;9,98;Fibra;18;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xolo;Cebus capúcinus;Cara blanca;2,73;Fibra;7;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ragnar;Cebus olivaceus;Mono lloron;5,05;FIbra;15;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kong;Cebus olivaceus;Mono lloron;15,94;Fibra;17;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cler;Cebus olivaceus;Mono lloron;7,17;FIbra;16;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ataulfo;Lemur catta;Lemur;4,46;Fibra;13;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tina;Lemur catta;Lemur;3,7;FIbra;8;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maya;Lemur catta;Lemur;0,6;Fibra;2;Cuidado.profesional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
